size,run,time
10,1,1.1275e-05
10,2,9.651e-06
10,3,9.804e-06
10,4,9.328e-06
10,5,1.0062e-05
10,6,9.794e-06
10,7,1.0012e-05
10,8,9.528e-06
10,9,8.344e-06
10,10,1.0028e-05
20,1,5.143e-06
20,2,4.878e-06
20,3,4.724e-06
20,4,4.926e-06
20,5,4.794e-06
20,6,5.028e-06
20,7,5.117e-06
20,8,4.747e-06
20,9,4.99e-06
20,10,5.398e-06
30,1,1.0892e-05
30,2,9.493e-06
30,3,1.0493e-05
30,4,9.366e-06
30,5,1.0743e-05
30,6,9.433e-06
30,7,1.0239e-05
30,8,2.787e-05
30,9,9.825e-06
30,10,9.878e-06
40,1,4.606e-06
40,2,4.254e-06
40,3,5.108e-06
40,4,2.3702e-05
40,5,4.635e-06
40,6,4.711e-06
40,7,4.289e-06
40,8,4.386e-06
40,9,4.652e-06
40,10,4.409e-06
50,1,9.23e-06
50,2,1.0036e-05
50,3,9.975e-06
50,4,9.679e-06
50,5,9.27e-06
50,6,9.695e-06
50,7,9.431e-06
50,8,9.489e-06
50,9,1.0862e-05
50,10,1.0126e-05
100,1,5.057e-06
100,2,7.013e-06
100,3,5.277e-06
100,4,4.997e-06
100,5,5.726e-06
100,6,5.65e-06
100,7,5.302e-06
100,8,5.269e-06
100,9,5.279e-06
100,10,7.074e-06
120,1,5.008e-06
120,2,5.64e-06
120,3,5.651e-06
120,4,6.359e-06
120,5,5.546e-06
120,6,6.607e-06
120,7,4.963e-06
120,8,6.499e-06
120,9,5.426e-06
120,10,6.444e-06
140,1,5.256e-06
140,2,7.341e-06
140,3,6.335e-06
140,4,7.214e-06
140,5,5.754e-06
140,6,7.468e-06
140,7,6.041e-06
140,8,7.282e-06
140,9,6.122e-06
140,10,7.389e-06
160,1,5.357e-06
160,2,5.305e-06
160,3,6.909e-06
160,4,7.04e-06
160,5,6.674e-06
160,6,5.554e-06
160,7,6.734e-06
160,8,6.055e-06
160,9,4.863e-06
160,10,5.213e-06
180,1,7.233e-06
180,2,7.609e-06
180,3,5.831e-06
180,4,7.319e-06
180,5,5.933e-06
180,6,7.574e-06
180,7,5.722e-06
180,8,7.606e-06
180,9,7.836e-06
180,10,7.649e-06
200,1,5.932e-06
200,2,7.343e-06
200,3,5.541e-06
200,4,7.154e-06
200,5,7.213e-06
200,6,7.093e-06
200,7,6.113e-06
200,8,7.147e-06
200,9,7.228e-06
200,10,7.222e-06
