trial,affinity,problem,time
1,true,small_files/,5.10754
1,true,big_files/,6.74226
1,false,small_files/,4.80178
1,false,big_files/,4.61387
1,master,small_files/,19.6677
1,master,big_files/,20.7815
1,spread,small_files/,4.68023
1,spread,big_files/,4.46557
1,close,small_files/,4.86411
1,close,big_files/,5.86917
2,true,small_files/,4.96828
2,true,big_files/,6.01333
2,false,small_files/,4.8537
2,false,big_files/,4.50051
2,master,small_files/,19.6695
2,master,big_files/,21.5409
2,spread,small_files/,4.88622
2,spread,big_files/,4.7939
2,close,small_files/,7.08737
2,close,big_files/,7.89278
3,true,small_files/,5.08612
3,true,big_files/,6.86371
3,false,small_files/,4.70893
3,false,big_files/,4.99234
3,master,small_files/,20.0567
3,master,big_files/,20.809
3,spread,small_files/,4.454
3,spread,big_files/,6.68644
3,close,small_files/,5.4573
3,close,big_files/,5.94397
4,true,small_files/,5.69311
4,true,big_files/,5.92028
4,false,small_files/,7.92771
4,false,big_files/,5.27657
4,master,small_files/,23.7678
4,master,big_files/,20.8925
4,spread,small_files/,4.42399
4,spread,big_files/,4.51484
4,close,small_files/,5.71334
4,close,big_files/,5.96305
5,true,small_files/,5.03418
5,true,big_files/,5.89572
5,false,small_files/,4.93173
5,false,big_files/,4.58278
5,master,small_files/,20.353
5,master,big_files/,20.8956
5,spread,small_files/,5.4817
5,spread,big_files/,5.08019
5,close,small_files/,6.57873
5,close,big_files/,6.49632
