trial,scheduling,block,threads,time
1,static,1,8,9.3247
1,dynamic,1,8,5.5825
1,static,3,8,5.53753
1,dynamic,3,8,5.49114
1,static,8,8,5.28245
1,dynamic,8,8,5.38225
1,static,1,16,4.97818
1,dynamic,1,16,4.66896
1,static,3,16,5.2962
1,dynamic,3,16,4.74469
1,static,8,16,5.67772
1,dynamic,8,16,5.0442
1,static,1,32,5.04734
1,dynamic,1,32,6.20533
1,static,3,32,4.79507
1,dynamic,3,32,5.12295
1,static,8,32,4.93383
1,dynamic,8,32,4.6434
2,static,1,8,5.58335
2,dynamic,1,8,5.22866
2,static,3,8,5.59106
2,dynamic,3,8,5.55231
2,static,8,8,5.46581
2,dynamic,8,8,5.41437
2,static,1,16,4.87358
2,dynamic,1,16,4.68547
2,static,3,16,6.2751
2,dynamic,3,16,4.95792
2,static,8,16,4.90956
2,dynamic,8,16,5.17582
2,static,1,32,4.84048
2,dynamic,1,32,4.64834
2,static,3,32,4.99602
2,dynamic,3,32,5.43185
2,static,8,32,6.41607
2,dynamic,8,32,5.73001
3,static,1,8,7.05178
3,dynamic,1,8,5.90781
3,static,3,8,5.76263
3,dynamic,3,8,6.09638
3,static,8,8,6.14595
3,dynamic,8,8,6.06685
3,static,1,16,5.04386
3,dynamic,1,16,4.83437
3,static,3,16,4.65895
3,dynamic,3,16,5.24931
3,static,8,16,6.71632
3,dynamic,8,16,4.77314
3,static,1,32,4.68963
3,dynamic,1,32,4.77411
3,static,3,32,4.56287
3,dynamic,3,32,5.15298
3,static,8,32,4.86072
3,dynamic,8,32,4.68251
4,static,1,8,6.46336
4,dynamic,1,8,5.42238
4,static,3,8,5.29025
4,dynamic,3,8,5.33932
4,static,8,8,7.24051
4,dynamic,8,8,5.41567
4,static,1,16,5.90517
4,dynamic,1,16,6.2772
4,static,3,16,5.58836
4,dynamic,3,16,6.01194
4,static,8,16,5.09613
4,dynamic,8,16,4.47428
4,static,1,32,4.81341
4,dynamic,1,32,4.30394
4,static,3,32,4.50451
4,dynamic,3,32,4.85163
4,static,8,32,4.84318
4,dynamic,8,32,4.74792
5,static,1,8,4.77889
5,dynamic,1,8,4.93692
5,static,3,8,5.09154
5,dynamic,3,8,5.76692
5,static,8,8,4.63012
5,dynamic,8,8,6.0613
5,static,1,16,4.60861
5,dynamic,1,16,5.45592
5,static,3,16,5.23773
5,dynamic,3,16,4.83978
5,static,8,16,5.20151
5,dynamic,8,16,4.72648
5,static,1,32,7.67312
5,dynamic,1,32,11.1727
5,static,3,32,7.7103
5,dynamic,3,32,4.87926
5,static,8,32,4.18824
5,dynamic,8,32,4.45264
6,static,1,8,4.61506
6,dynamic,1,8,4.54588
6,static,3,8,5.33014
6,dynamic,3,8,4.63251
6,static,8,8,4.7118
6,dynamic,8,8,4.70223
6,static,1,16,4.36405
6,dynamic,1,16,4.39376
6,static,3,16,4.34172
6,dynamic,3,16,4.26019
6,static,8,16,4.49531
6,dynamic,8,16,5.12408
6,static,1,32,4.74765
6,dynamic,1,32,4.53812
6,static,3,32,4.44312
6,dynamic,3,32,4.64743
6,static,8,32,4.38848
6,dynamic,8,32,4.47282
7,static,1,8,4.7209
7,dynamic,1,8,4.84011
7,static,3,8,4.64171
7,dynamic,3,8,4.61266
7,static,8,8,4.56529
7,dynamic,8,8,6.28446
7,static,1,16,4.38455
7,dynamic,1,16,4.36723
7,static,3,16,5.85636
7,dynamic,3,16,4.23175
7,static,8,16,4.69331
7,dynamic,8,16,4.5011
7,static,1,32,4.65041
7,dynamic,1,32,4.23444
7,static,3,32,4.45932
7,dynamic,3,32,4.35536
7,static,8,32,4.86439
7,dynamic,8,32,4.70078
8,static,1,8,4.97347
8,dynamic,1,8,4.29167
8,static,3,8,4.60877
8,dynamic,3,8,4.55624
8,static,8,8,4.77576
8,dynamic,8,8,4.49429
8,static,1,16,4.53991
8,dynamic,1,16,5.82302
8,static,3,16,4.97267
8,dynamic,3,16,5.2073
8,static,8,16,9.06952
8,dynamic,8,16,8.23372
8,static,1,32,7.14594
8,dynamic,1,32,5.37941
8,static,3,32,5.06087
8,dynamic,3,32,4.92486
8,static,8,32,4.99341
8,dynamic,8,32,4.98366
9,static,1,8,5.68411
9,dynamic,1,8,5.28609
9,static,3,8,5.44309
9,dynamic,3,8,6.38191
9,static,8,8,5.56889
9,dynamic,8,8,6.24187
9,static,1,16,4.69421
9,dynamic,1,16,4.54623
9,static,3,16,4.81476
9,dynamic,3,16,5.20304
9,static,8,16,4.69536
9,dynamic,8,16,4.73383
9,static,1,32,4.7208
9,dynamic,1,32,4.54428
9,static,3,32,5.14469
9,dynamic,3,32,4.51088
9,static,8,32,4.50098
9,dynamic,8,32,4.55608
