nodes,trial,payload,size,buff_size,threads,time
2,1,1,50000000,9999999999999,7,5.43818
2,1,1,50000000,9999999999999,15,5.0383
2,1,1,100000000,9999999999999,7,11.821
2,1,1,100000000,9999999999999,15,9.12013
4,1,1,50000000,9999999999999,7,4.89713
4,1,1,50000000,9999999999999,15,4.14784
4,1,1,100000000,9999999999999,7,9.45181
4,1,1,100000000,9999999999999,15,7.96142
8,1,1,50000000,9999999999999,7,4.0964
8,1,1,50000000,9999999999999,15,3.75788
8,1,1,100000000,9999999999999,7,7.8899
8,1,1,100000000,9999999999999,15,7.46538
1,1,1,50000000,9999999999999,7,8.71797
1,1,1,50000000,9999999999999,15,7.04268
1,1,1,100000000,9999999999999,7,17.7817
1,1,1,100000000,9999999999999,15,12.9143
