nodes,size,buff_size,thread,time
2,10000000,1000000,7,1.21747
2,10000000,1000000,15,1.11185
2,10000000,2000000,7,1.13408
2,10000000,2000000,15,1.03867
2,10000000,4000000,7,1.03798
2,10000000,4000000,15,0.910123
2,50000000,1000000,7,10.0713
2,50000000,1000000,15,9.6393
2,50000000,2000000,7,7.81828
2,50000000,2000000,15,7.14436
2,50000000,4000000,7,6.80556
2,50000000,4000000,15,6.12533
2,50000000,10000000,7,5.75802
2,50000000,10000000,15,4.95121
2,100000000,1000000,7,29.763
2,100000000,1000000,15,28.0218
2,100000000,2000000,7,19.8243
2,100000000,2000000,15,19.0162
2,100000000,4000000,7,16.0342
2,100000000,4000000,15,14.7628
2,100000000,10000000,7,12.4841
2,100000000,10000000,15,11.0091
4,10000000,1000000,7,0.948909
4,10000000,1000000,15,0.905434
4,10000000,2000000,7,0.914936
4,10000000,2000000,15,0.842637
4,50000000,1000000,7,5.73956
4,50000000,1000000,15,5.4365
4,50000000,2000000,7,5.19427
4,50000000,2000000,15,4.95662
4,50000000,4000000,7,4.87897
4,50000000,4000000,15,4.55891
4,50000000,10000000,7,4.46027
4,50000000,10000000,15,4.11696
4,100000000,1000000,7,13.5567
4,100000000,1000000,15,12.8905
4,100000000,2000000,7,11.4846
4,100000000,2000000,15,10.888
4,100000000,4000000,7,10.5203
4,100000000,4000000,15,9.88656
4,100000000,10000000,7,9.43772
4,100000000,10000000,15,8.71698
8,10000000,1000000,7,0.827196
8,10000000,1000000,15,0.812467
8,50000000,1000000,7,4.50619
8,50000000,1000000,15,4.30693
8,50000000,2000000,7,4.30746
8,50000000,2000000,15,4.16911
8,50000000,4000000,7,4.15679
8,50000000,4000000,15,3.98477
8,100000000,1000000,7,9.56175
8,100000000,1000000,15,9.178
8,100000000,2000000,7,8.94312
8,100000000,2000000,15,8.64971
8,100000000,4000000,7,8.69656
8,100000000,4000000,15,8.37766
8,100000000,10000000,7,8.23183
8,100000000,10000000,15,7.85007
