trial,payload,size,task_size,workers,time
1,1,10000,-1,1,0.00108195
1,1,10000,-1,3,0.000987873
1,1,10000,-1,7,0.00176496
1,1,10000,-1,15,0.00244363
1,1,10000,-1,31,0.00410233
1,1,10000,128,1,0.00122033
1,1,10000,128,3,0.00149963
1,1,10000,128,7,0.00139606
1,1,10000,128,15,0.00273118
1,1,10000,128,31,0.00524784
1,1,10000,10000,1,0.00125809
1,1,10000,10000,3,0.0013513
1,1,10000,10000,7,0.00149213
1,1,10000,10000,15,0.00195518
1,1,10000,10000,31,0.00366347
1,1,100000,-1,1,0.00979517
1,1,100000,-1,3,0.00713213
1,1,100000,-1,7,0.00524392
1,1,100000,-1,15,0.00530215
1,1,100000,-1,31,0.00617354
1,1,100000,128,1,0.00825134
1,1,100000,128,3,0.00560596
1,1,100000,128,7,0.00443881
1,1,100000,128,15,0.00580094
1,1,100000,128,31,0.00945014
1,1,100000,10000,1,0.00823045
1,1,100000,10000,3,0.00531396
1,1,100000,10000,7,0.00574638
1,1,100000,10000,15,0.00531161
1,1,100000,10000,31,0.0075805
1,1,100000,25000,1,0.00981585
1,1,100000,25000,3,0.00704017
1,1,100000,25000,7,0.00525291
1,1,100000,25000,15,0.00585493
1,1,100000,25000,31,0.00718332
1,1,100000,100000,1,0.0112315
1,1,100000,100000,3,0.0113231
1,1,100000,100000,7,0.0114842
1,1,100000,100000,15,0.0118976
1,1,100000,100000,31,0.0159694
1,1,1000000,-1,1,0.108348
1,1,1000000,-1,3,0.0772929
1,1,1000000,-1,7,0.0499688
1,1,1000000,-1,15,0.0489964
1,1,1000000,-1,31,0.0588492
1,1,1000000,128,1,0.0963259
1,1,1000000,128,3,0.0581004
1,1,1000000,128,7,0.0460336
1,1,1000000,128,15,0.038925
1,1,1000000,128,31,0.0448406
1,1,1000000,10000,1,0.0848599
1,1,1000000,10000,3,0.0537404
1,1,1000000,10000,7,0.0424416
1,1,1000000,10000,15,0.038138
1,1,1000000,10000,31,0.043412
1,1,1000000,25000,1,0.0895301
1,1,1000000,25000,3,0.0571526
1,1,1000000,25000,7,0.0450874
1,1,1000000,25000,15,0.0380645
1,1,1000000,25000,31,0.0414735
1,1,1000000,100000,1,0.093994
1,1,1000000,100000,3,0.0575523
1,1,1000000,100000,7,0.0471326
1,1,1000000,100000,15,0.0382584
1,1,1000000,100000,31,0.0433617
1,1,10000000,-1,1,1.30483
1,1,10000000,-1,3,0.892055
1,1,10000000,-1,7,0.544644
1,1,10000000,-1,15,0.536221
1,1,10000000,-1,31,0.620477
1,1,10000000,128,1,1.18125
1,1,10000000,128,3,0.695925
1,1,10000000,128,7,0.492233
1,1,10000000,128,15,0.430727
1,1,10000000,128,31,0.475631
1,1,10000000,10000,1,1.05397
1,1,10000000,10000,3,0.617458
1,1,10000000,10000,7,0.420838
1,1,10000000,10000,15,0.355206
1,1,10000000,10000,31,0.354266
1,1,10000000,25000,1,1.02902
1,1,10000000,25000,3,0.602643
1,1,10000000,25000,7,0.425466
1,1,10000000,25000,15,0.348842
1,1,10000000,25000,31,0.353257
1,1,10000000,100000,1,1.0018
1,1,10000000,100000,3,0.594695
1,1,10000000,100000,7,0.427789
1,1,10000000,100000,15,0.346998
1,1,10000000,100000,31,0.377096
1,1,50000000,-1,1,7.05314
1,1,50000000,-1,3,4.83473
1,1,50000000,-1,7,2.90033
1,1,50000000,-1,15,2.89317
1,1,50000000,-1,31,3.34935
1,1,50000000,128,1,6.4863
1,1,50000000,128,3,3.76058
1,1,50000000,128,7,2.66307
1,1,50000000,128,15,2.13476
1,1,50000000,128,31,2.24526
1,1,50000000,10000,1,5.89545
1,1,50000000,10000,3,3.40542
1,1,50000000,10000,7,2.33526
1,1,50000000,10000,15,1.82426
1,1,50000000,10000,31,1.82841
1,1,50000000,25000,1,5.89002
1,1,50000000,25000,3,3.37626
1,1,50000000,25000,7,2.29515
1,1,50000000,25000,15,1.69597
1,1,50000000,25000,31,1.68935
1,1,50000000,100000,1,5.78743
1,1,50000000,100000,3,3.34278
1,1,50000000,100000,7,2.24721
1,1,50000000,100000,15,1.66112
1,1,50000000,100000,31,1.71022
1,1,100000000,-1,1,14.9926
1,1,100000000,-1,3,10.2514
1,1,100000000,-1,7,6.07541
1,1,100000000,-1,15,6.04558
1,1,100000000,-1,31,6.98342
1,1,100000000,128,1,13.5375
1,1,100000000,128,3,7.82312
1,1,100000000,128,7,5.48661
1,1,100000000,128,15,4.355
1,1,100000000,128,31,4.56141
1,1,100000000,10000,1,12.4446
1,1,100000000,10000,3,6.99805
1,1,100000000,10000,7,4.84096
1,1,100000000,10000,15,3.70323
1,1,100000000,10000,31,3.79649
1,1,100000000,25000,1,12.3009
1,1,100000000,25000,3,7.03077
1,1,100000000,25000,7,4.7268
1,1,100000000,25000,15,3.47922
1,1,100000000,25000,31,3.51673
1,1,100000000,100000,1,12.1547
1,1,100000000,100000,3,6.94669
1,1,100000000,100000,7,4.62584
1,1,100000000,100000,15,3.42916
1,1,100000000,100000,31,3.52592
